Location,Scenario,Similarity
Halloween Party,Accidentally wearing a Halloween costume to a black-tie wedding,0.694
Office Cubicle,First Day at a New Job,0.6939
Prom,Speed Dating,0.6938
Airport,Attempting to smuggle a wheel of cheese through airport security,0.6938
Secret Passageway,Getting Locked Out,0.6938
War Zone,Starting a Bar Fight,0.6938
Movie Theater,Causing a Public Scene,0.6938
Movie Theater,Murder Mystery Dinner,0.6938
House Fire,Getting Ghosted,0.6938
Black-Tie Event,Starting a Bar Fight,0.6937
Public Restroom,Dealing with a Karen,0.6936
Taxi,Emergency Evacuation,0.6936
Secret Laboratory,Discovering a secret room behind a bookcase,0.6935
Secret Laboratory,Hacking a Secure System,0.6935
Tattoo Parlor,Performing an Exorcism,0.6935
Funeral Home,First Day at a New Job,0.6935
Haunted House,Getting Friend-Zoned,0.6935
Carnival,Performing an Exorcism,0.6935
Ice Cave,Emergency Evacuation,0.6934
Subway Train,Extreme Jet Lag,0.6934
Abandoned Mine,Alien Abduction Attempt,0.6934
Public Restroom,Running into an Ex,0.6934
Dorm Room,Escape Room Disaster,0.6934
Hotel Room,Arguing Over the Bill,0.6933
Theater,Causing a Public Scene,0.6933
Taxi,Evading Arrest,0.6932
Psychiatric Ward,Getting Friend-Zoned,0.6932
Hospital,Emergency Evacuation,0.6932
Nightclub,Explaining why you are wearing sunglasses indoors at night,0.6932
Abandoned Mine,Amateur Ghost Hunting,0.6931
Dungeon,Trying to escape a maze,0.6931
On the phone,Taking a bite out of a decorative wax apple,0.693
Small Town,Evading Arrest,0.693
Caravan,Emergency Evacuation,0.693
Fast Food Restaurant,Emergency Evacuation,0.693
Shopping Mall,Bumping into a Celebrity,0.693
Medieval Castle,Solving a Murder,0.693
Black-Tie Event,Planning a Bank Heist,0.6929
Penthouse Suite,Office Holiday Party,0.6929
Public Restroom,Running Out of Gas,0.6928
Truck Stop,Getting Stood Up,0.6928
On the phone,Firing a Friend,0.6927
Abandoned Mine,Escape Room Disaster,0.6927
Elevator,Lost in Translation,0.6927
Train Station,Causing a Public Scene,0.6927
Video Arcade,Starting a Bar Fight,0.6926
Race Track (Horses),Running from the Cops,0.6926
Hair Salon,Office Holiday Party,0.6926
Post-Apocalyptic World,Discovering a Conspiracy,0.6925
Haunted House,Alien Abduction Attempt,0.6925
Apartment Building,Getting Locked Out,0.6925
Chicken Coop,Emergency Evacuation,0.6925
Emergency Room,Arguing with a Bouncer,0.6925
Fitness Center,Emergency Evacuation,0.6924
Alien Planet,Attempting to communicate with aliens via interpretive dance,0.6924
Boarding School,Performing an Exorcism,0.6924
Psychiatric Ward,Investigating a Haunting,0.6924
On the phone,Emergency Evacuation,0.6924
On the phone,Breaking a priceless vase at a museum and trying to glue it back,0.6923
House Party,Cleaning Up After a Massive Party,0.6923
Sporting Event,Running into an Ex,0.6923
House Fire,Messy Divorce,0.6923
On the phone,Interrupting a moment of silence with a loud ringtone,0.6923
Secret Laboratory,Emergency Evacuation,0.6923
Dorm Room,Performing an Exorcism,0.6922
Black-Tie Event,Getting Friend-Zoned,0.6921
Penthouse Suite,Emergency Evacuation,0.6921
Parking Lot,Getting Locked Out,0.6921
Courthouse,Running from the Cops,0.6921
Cabin In The Woods,Emergency Evacuation,0.6921
Parking Lot,Office Holiday Party,0.6921
Parking Lot,Falling asleep at the wheel of a parked car and screaming when you wake up,0.6921
Hair Salon,Speed Dating,0.6921
Carnival,Office Holiday Party,0.692
Prison,Solving a Murder,0.692
Underwater City,Emergency Evacuation,0.692
Frozen Tundra,Extreme Jet Lag,0.6919
Casual Dining Restaurant,Complaining about the food to the chef who happens to be your date,0.6919
Church,Starting a Cult,0.6918
On the phone,Staging an Intervention,0.6918
Ghost Town,Evading Arrest,0.6918
Hotel Room,Awkward Morning After,0.6918
Medieval Castle,Performing an Exorcism,0.6918
Abandoned Warehouse,Emergency Evacuation,0.6918
Therapist's Office,Lost in Translation,0.6918
Pool Hall,High-Stakes Poker Game,0.6917
Haunted House,Running Out of Gas,0.6917
Psychiatric Ward,Getting Stood Up,0.6917
Haunted House,Running from the Cops,0.6916
Online,Hacking a Secure System,0.6916
Pub,Arguing with a Bouncer,0.6916
Battlefield,Emergency Evacuation,0.6916
Parking Lot,Running from the Cops,0.6916
Small Town,Bumping into a Celebrity,0.6916
Train Station,Extreme Jet Lag,0.6915
House Fire,Solving a Murder,0.6914
Living Room,Emergency Evacuation,0.6914
Bank Vault,Escape Room Disaster,0.6914
Boarding School,Losing Your Passport,0.6914
Black-Tie Event,Getting Stood Up,0.6914
Beach Party,Murder Mystery Dinner,0.6914
Underwater,Dropping the bride's ring down a sewer grate,0.6914
Amusement Park,Amateur Ghost Hunting,0.6914
Psychiatric Ward,Getting Locked Out,0.6913
Bomb Shelter,Running from the Cops,0.6913
Apartment Building,Office Holiday Party,0.6913
Grocery Store,Dealing with a Karen,0.6913
Movie Theater,Performing an Exorcism,0.6913
Hospital,Impersonating a doctor to get better hospital food,0.6912
Public Restroom,First Day at a New Job,0.6912
Fishing Village,Emergency Evacuation,0.6912
Bridge,Dropping the bride's ring down a sewer grate,0.6912
Secret Passageway,Causing a Public Scene,0.6912
Cabin In The Woods,Starting a Cult,0.6911
Industrial Factory,Emergency Evacuation,0.691
Hotel Room,Negotiating a Ransom,0.6909
Online,Speed Dating,0.6909
Church,Performing an Exorcism,0.6909
Emergency Room,Solving a Murder,0.6909
Boarding School,Getting Friend-Zoned,0.6909
City Bus,Running Out of Gas,0.6908
Fast Food Restaurant,Trying to escape a maze,0.6908
County Fair,Running from the Cops,0.6908
Penthouse Suite,Causing a Public Scene,0.6908
Principal's Office,Getting Locked Out,0.6908
Small Town,Getting Ghosted,0.6908
Medieval Castle,Trying to escape a maze,0.6908
On the phone,Scamming the Scammer,0.6908
Virtual Reality World,Getting Friend-Zoned,0.6907
Abandoned Mine,Trying to escape a maze,0.6907
On the phone,Hacking a Secure System,0.6907
Ancient Ruins,Amateur Ghost Hunting,0.6907
Grocery Store,Attempting to buy groceries with monopoly money,0.6907
Jungle,Trying to escape a maze,0.6907
Online,Negotiating a Ransom,0.6906
Ice Cream Parlor,Explaining to a cop why you are driving a stolen ice cream truck,0.6906
Amusement Park,Running Out of Gas,0.6906
Emergency Room,First Day at a New Job,0.6906
Hotel Room,Causing a Public Scene,0.6905
Secret Passageway,Escaping a boring party by crawling through a vent,0.6905
Taxi Cab,Alien Abduction Attempt,0.6905
Emergency Room,Arguing Over the Bill,0.6905
Cruise Ship,Murder Mystery Dinner,0.6905
Hotel Room,First Day at a New Job,0.6905
Hotel Room,Hiding a Fugitive,0.6904
Cabin In The Woods,Trying to escape a maze,0.6904
Sporting Event,Kicking a soccer ball into someone's face,0.6904
Pool Hall,Speed Dating,0.6904
Laboratory,Emergency Evacuation,0.6904
War Zone,Solving a Murder,0.6904
Space Station,Alien Abduction Attempt,0.6904
Hunting Cabin,Solving a Murder,0.6904
Art Gallery,Spilling coffee on a priceless piece of art,0.6904
Market,Trying to sell ice to an Eskimo,0.6904
Bank,Robbing a bank with a banana,0.6904
Skate Park,Speed Dating,0.6903
College Campus,Causing a Public Scene,0.6903
Bridge,Lost in Translation,0.6903
Cabin In The Woods,Solving a Murder,0.6903
Run-Down Apartment,Emergency Evacuation,0.6903
Underwater,Swimming in a public fountain,0.6902
Abandoned Mine,Solving a Murder,0.6902
Underwater,Hiding a Fugitive,0.6902
Black-Tie Event,First Day at a New Job,0.6902
Train Station,Getting Stood Up,0.6901
Recording Studio,Performing an Exorcism,0.6901
Nursing Home,Speed Dating,0.6901
Boarding School,First Day at a New Job,0.6901
Medieval Castle,Accidentally destroying a child's sandcastle masterpiece,0.6901
Clock Tower,Lost in Translation,0.69
Therapist's Office,Getting Locked Out,0.69
Gas Station,Emergency Evacuation,0.69
Movie Theater,Lost in Translation,0.69
Courtroom,Solving a Murder,0.69
Amusement Park,Performing an Exorcism,0.6899
Ghost Town,Trying to sell ice to an Eskimo,0.6899
Liquor Store,Drunk Calling the Ex,0.6898
War Zone,Getting Friend-Zoned,0.6898
Bridge,Speed Dating,0.6898
Ambulance,Evading Arrest,0.6898
Green Room,Emergency Evacuation,0.6898
Hotel Room,Getting Locked Out,0.6898
Emergency Room,Interrupting a Wedding,0.6898
Amusement Park,Speed Dating,0.6898
Therapist's Office,Running Out of Gas,0.6898
Prison Cell,Negotiating a Ransom,0.6897
Elevator,Getting trapped on a ski lift with a loud chewer,0.6897
Botanical Garden,Emergency Evacuation,0.6897
Arctic Tundra,Emergency Evacuation,0.6897
Black-Tie Event,Arguing with a Bouncer,0.6897
Bonfire,Firing a Friend,0.6897
Prison,Getting caught trying to steal a souvenir from a sacred temple,0.6897
Tree House,Defending your decision to live in a treehouse,0.6897
Shopping Mall,Office Holiday Party,0.6897
Virtual Reality World,Solving a Murder,0.6896
Underground Storm Shelter,Emergency Evacuation,0.6896
Arctic Tundra,Running Out of Gas,0.6896
Bowling Alley,Speed Dating,0.6896
Public Restroom,Getting Locked Out,0.6896
Prison,Emergency Evacuation,0.6895
Hotel Room,Losing Your Passport,0.6895
Sporting Event,Interrupting a Wedding,0.6895
Motel,Lost in Translation,0.6895
Maze,Escape Room Disaster,0.6895
County Fair,First Day at a New Job,0.6895
Cemetery,Trying to hide a dead body in a shallow grave,0.6895
Fast Food Restaurant,Causing a Public Scene,0.6894
Psychiatric Ward,First Day at a New Job,0.6894
Ballroom,Speed Dating,0.6894
Small Town,Emergency Evacuation,0.6894
Teacher's Lounge,Causing a Public Scene,0.6894
Video Arcade,Emergency Evacuation,0.6894
Secret Passageway,Losing Your Passport,0.6893
House Party,Emergency Evacuation,0.6893
Waiting Room,Dealing with a Karen,0.6893
Chicken Coop,Running from the Cops,0.6892
Funeral Home,Hiding a Fugitive,0.6892
Car Accident Site,Causing a Public Scene,0.6892
Medieval Village,Solving a Murder,0.6892
War Zone,Running from the Cops,0.6892
Empty Lot,Causing a Public Scene,0.6891
Psychiatric Ward,Starting a Cult,0.6891
Hunting Cabin,Investigating a Haunting,0.6891
Sporting Event,Extreme Jet Lag,0.6891
Small Town,Hiding a Fugitive,0.6891
Funeral Home,Murder Mystery Dinner,0.6891
Farmer's Market,Murder Mystery Dinner,0.689
Taxi Cab,Causing a Public Scene,0.689
Boarding School,Evading Arrest,0.689
Shopping Mall,Getting Friend-Zoned,0.6889
Hotel Room,Flirting with the Boss,0.6889
Online,Lost in Translation,0.6888
Prison,Starting a Cult,0.6888
Clock Tower,Solving a Murder,0.6888
Secret Laboratory,Epic Prank War,0.6888
Elevator,Dropping the bride's ring down a sewer grate,0.6888
Virtual Reality World,Emergency Evacuation,0.6888
Beach Party,Staging an Intervention,0.6888
Taxi Cab,Solving a Murder,0.6887
Emergency Room,Trying to escape a maze,0.6887
Taxi,Falling asleep at the wheel of a parked car and screaming when you wake up,0.6887
Virtual Reality World,Running Out of Gas,0.6887
Break Room,Messy Breakup,0.6887
Public Restroom,Escaping a boring date through the bathroom window,0.6887
Underwater,Running from the Cops,0.6887
Gas Station,3am Drunk Food Run,0.6887
Haunted House,Getting Stood Up,0.6886
Beach Party,Starting a Bar Fight,0.6886
