Location,Scenario,Contextual_Similarity
Medieval Castle,Trying to break a curse by kissing a frog,0.7822
Prison Cell,Accidentally locking yourself in a dog crate,0.7822
House Fire,Refusing to leave a store that is actively burning down,0.7822
Ghost Town,Purchasing a haunted antique that won't stop screaming,0.7821
Movie Set,Pretending to understand a foreign film,0.782
Emergency Room,Setting off fireworks indoors,0.782
Prom,Being challenged to a dance battle by a group of teenagers,0.782
Woods,Camping Trip Where Everything Goes Wrong,0.782
Prison Cell,Setting off fireworks indoors,0.782
Shopping Mall,Purchasing a haunted antique that won't stop screaming,0.7819
Subway Tunnel,Escaping a boring party by crawling through a vent,0.7819
Small Town,Playing hide and seek and falling asleep,0.7819
Bank Vault,Planning a Prison Escape,0.7819
Prison,Escaping a boring party by crawling through a vent,0.7819
Restaurant,Arguing with a barista over the definition of a cappuccino,0.7819
Sporting Event,Office Holiday Party,0.7819
Pool Hall,Escaping a boring party by crawling through a vent,0.7818
College Campus,Escaping a boring party by crawling through a vent,0.7818
Pawn Shop,Purchasing a haunted antique that won't stop screaming,0.7818
Water Park,Admitting you don't know what water is,0.7817
Courtroom,Interrupting a moment of silence with a loud ringtone,0.7817
Emergency Room,Calling 911 because you lost the TV remote,0.7817
Airport,Trying to land a commercial airplane with no flight experience,0.7817
Train Station,Swimming in a public fountain,0.7817
Prison,Hiding a Fugitive,0.7816
Train Station,Dropping the bride's ring down a sewer grate,0.7816
Space Station,Setting off fireworks indoors,0.7816
Amusement Park,Setting off fireworks indoors,0.7816
Military Helicopter,Emergency Evacuation,0.7816
Basement,Hiding under a bed to avoid a conversation,0.7815
Haunted House,Performing an Exorcism,0.7815
Courtroom,Trying to arrest a suspect using a citizen's arrest,0.7815
Police Station,Undercover Sting Operation,0.7815
Secret Laboratory,Discovering a secret room behind a bookcase,0.7815
On the phone,Drunk Calling the Ex,0.7815
Prom,Escaping a boring party by crawling through a vent,0.7815
White House,Biting into a fake apple at an open house,0.7815
Police Car,Defending your terrible parallel parking job holding up traffic,0.7814
Sporting Event,Entering a hot dog eating contest to impress a vegetarian,0.7814
Emergency Room,Walking in on a crime scene,0.7814
Courtroom,Dropping the bride's ring down a sewer grate,0.7814
Prison,Making a dramatic exit by walking into a closet,0.7814
Shopping Mall,Swimming in a public fountain,0.7813
Garden,Taking a bite out of a decorative wax apple,0.7813
Living Room,Hiding under a bed to avoid a conversation,0.7813
Wedding Reception,Spilling red wine on a white carpet,0.7813
Basement,Attempting to build a nuclear reactor in your basement,0.7813
Island,Playing hide and seek and falling asleep,0.7813
Basement,Playing hide and seek and falling asleep,0.7813
Botanical Garden,Swimming in a public fountain,0.7812
Elevator,Making a dramatic exit by walking into a closet,0.7812
Basement,Setting off fireworks indoors,0.7812
Bonfire,Setting off fireworks indoors,0.7811
Mall,Making a Scene in a Restaurant,0.7811
Hotel Room,Making a Scene in a Restaurant,0.7811
Camp,Playing hide and seek and falling asleep,0.7811
Restaurant,Spilling coffee on a priceless piece of art,0.781
Courtroom,Biting into a fake apple at an open house,0.781
Birthday Party,Going to a costume party a week early,0.781
Airplane,Emergency Evacuation,0.7809
Bank Vault,Hiding in a retail store until after it closes,0.7809
Black-Tie Event,Ruining the Bride's Dress,0.7809
Arctic Tundra,Trying to sell ice to an Eskimo,0.7808
Movie Set,Lost in Translation,0.7808
Casino,Setting off fireworks indoors,0.7808
Ballroom,Lost in Translation,0.7808
Upscale Hotel Lobby,Sneaking into a celebrity's dressing room,0.7807
Ghost Town,Buying a supposedly haunted car that just plays bad 80s music,0.7807
Diner,Eating a stranger's leftovers at a restaurant,0.7807
Prison,Opening someone else's mail and finding a ransom note,0.7807
Prison,Camping Trip Where Everything Goes Wrong,0.7807
Halloween Party,Organizing a Surprise Party (and Ruining It),0.7807
Parade,Office Holiday Party,0.7807
Nightclub,Sneaking into a celebrity's dressing room,0.7806
Castle,Accidentally destroying a child's sandcastle masterpiece,0.7806
Hotel Room,Office Holiday Party,0.7806
Restaurant,Spilling red wine on a white carpet,0.7806
Underwater,Panicking and throwing your keys into a river,0.7806
